epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6253,1.44471,4.1152,1.52291,0.13753,0.34877,0.18684,0.12145,1.11799,2.50713,1.26991,0.00011869,0.00011869,0.00011869
2,97.6834,1.31696,2.74727,1.40628,0.42767,0.51315,0.42318,0.29777,1.08937,2.00591,1.17626,0.000235808,0.000235808,0.000235808
3,164.979,1.35698,2.32313,1.42946,0.59764,0.4813,0.55342,0.37244,1.09951,1.63366,1.21793,0.00035104,0.00035104,0.00035104
4,222.456,1.35503,2.0373,1.4271,0.49496,0.64197,0.60569,0.41729,1.0601,1.71731,1.21911,0.000348518,0.000348518,0.000348518
5,279.915,1.32092,1.87924,1.416,0.45611,0.70364,0.62495,0.43792,1.05041,1.4464,1.21419,0.00034569,0.00034569,0.00034569
6,338.196,1.2964,1.76709,1.4036,0.60688,0.6496,0.74515,0.52823,1.01182,1.39485,1.16493,0.000342863,0.000342863,0.000342863
7,405.14,1.29111,1.65412,1.40136,0.63944,0.63801,0.7093,0.5078,1.00599,1.35341,1.15854,0.000340035,0.000340035,0.000340035
8,458.124,1.29968,1.57559,1.42193,0.72606,0.60473,0.70688,0.53028,0.96524,1.27816,1.16532,0.000337208,0.000337208,0.000337208
9,526.765,1.2316,1.52346,1.37245,0.56092,0.69304,0.71565,0.51793,0.97916,1.25275,1.15221,0.00033438,0.00033438,0.00033438
10,593.056,1.24584,1.43876,1.38907,0.69215,0.70515,0.77866,0.56223,0.95345,1.22371,1.16105,0.000331553,0.000331553,0.000331553
11,640.323,1.22113,1.40255,1.39083,0.61228,0.79704,0.7586,0.55203,0.94458,1.1593,1.13013,0.000328726,0.000328726,0.000328726
12,679.488,1.22804,1.34404,1.38221,0.74111,0.70721,0.79288,0.5922,0.93485,1.10112,1.14492,0.000325898,0.000325898,0.000325898
13,719.024,1.1965,1.2726,1.36744,0.75992,0.72784,0.78876,0.58299,0.94679,1.02162,1.16299,0.000323071,0.000323071,0.000323071
14,758.605,1.16579,1.22887,1.34835,0.80119,0.77244,0.83226,0.60501,0.96257,0.95376,1.16517,0.000320243,0.000320243,0.000320243
15,798.545,1.19117,1.23029,1.37424,0.77027,0.75743,0.78973,0.57481,0.95891,1.03965,1.19458,0.000317416,0.000317416,0.000317416
16,837.563,1.17183,1.17929,1.34848,0.74756,0.72713,0.80562,0.59982,0.92482,1.01972,1.13882,0.000314588,0.000314588,0.000314588
17,876.809,1.17257,1.16246,1.34033,0.80715,0.76281,0.83575,0.6219,0.90051,0.87753,1.12498,0.000311761,0.000311761,0.000311761
18,916.348,1.16028,1.13174,1.33546,0.64945,0.75388,0.82247,0.59585,0.96569,0.99609,1.17532,0.000308934,0.000308934,0.000308934
19,956.176,1.16059,1.11355,1.33866,0.87871,0.69082,0.83263,0.62065,0.9473,0.85353,1.16324,0.000306106,0.000306106,0.000306106
20,995.675,1.1086,1.06127,1.30045,0.82612,0.77168,0.8639,0.64275,0.93911,0.88353,1.14035,0.000303279,0.000303279,0.000303279
21,1036.56,1.14375,1.067,1.31779,0.80273,0.80262,0.86951,0.64816,0.89668,0.8875,1.13055,0.000300451,0.000300451,0.000300451
22,1086.59,1.14713,1.01207,1.32886,0.86281,0.76265,0.85462,0.62484,0.95398,0.89579,1.17346,0.000297624,0.000297624,0.000297624
23,1125.99,1.13522,1.0184,1.31015,0.82674,0.79576,0.842,0.61999,0.95996,0.89744,1.14978,0.000294796,0.000294796,0.000294796
24,1165.19,1.11566,1.03376,1.30331,0.81356,0.7676,0.8457,0.62957,0.89498,0.89205,1.11448,0.000291969,0.000291969,0.000291969
25,1204.19,1.07794,0.9748,1.28246,0.85702,0.72669,0.85917,0.63515,0.90682,0.857,1.09272,0.000289141,0.000289141,0.000289141
26,1243.68,1.09709,0.97052,1.28188,0.7641,0.86043,0.86261,0.64131,0.89849,0.81851,1.10453,0.000286314,0.000286314,0.000286314
27,1282.52,1.07516,0.93198,1.25697,0.83102,0.83324,0.89838,0.68487,0.86836,0.76981,1.06515,0.000283487,0.000283487,0.000283487
28,1322.63,1.0381,0.91792,1.2492,0.84409,0.82368,0.87716,0.65549,0.87929,0.76634,1.09462,0.000280659,0.000280659,0.000280659
29,1363.49,1.06337,0.91309,1.27647,0.82278,0.86526,0.88915,0.66,0.87267,0.79189,1.11103,0.000277832,0.000277832,0.000277832
30,1403.55,1.06069,0.91521,1.26752,0.82173,0.8129,0.8845,0.66317,0.83074,0.82341,1.05993,0.000275004,0.000275004,0.000275004
31,1442.72,1.05822,0.9102,1.26153,0.75358,0.87461,0.87764,0.67417,0.86648,0.7311,1.07907,0.000272177,0.000272177,0.000272177
32,1482.14,1.0393,0.86856,1.24411,0.7977,0.8107,0.87556,0.66662,0.86588,0.7001,1.09674,0.000269349,0.000269349,0.000269349
33,1521.41,1.02953,0.84802,1.24042,0.86143,0.81597,0.89941,0.68832,0.83295,0.69729,1.07579,0.000266522,0.000266522,0.000266522
34,1560.77,1.01128,0.82487,1.23612,0.77594,0.86394,0.86458,0.63736,0.8832,0.74058,1.09093,0.000263694,0.000263694,0.000263694
35,1600.38,1.02515,0.83298,1.23647,0.87864,0.8169,0.87892,0.66323,0.88277,0.74556,1.10395,0.000260867,0.000260867,0.000260867
36,1639.66,1.02763,0.83504,1.23693,0.85733,0.82485,0.88557,0.65184,0.89442,0.72119,1.09842,0.00025804,0.00025804,0.00025804
37,1679.35,0.99164,0.77981,1.2163,0.80698,0.83975,0.87621,0.663,0.87314,0.7245,1.08066,0.000255212,0.000255212,0.000255212
38,1718.8,1.01351,0.815,1.24279,0.87105,0.86334,0.90303,0.68383,0.84632,0.66989,1.07494,0.000252385,0.000252385,0.000252385
